art_code,page,name,categories,subcategory,size_label,brochure_sizes,caption,image
LB-090012-6030,208,Buddha in Golden Watercolour,All Art Prints|Deals & Discounts|Digital Canvas Prints,Buddha,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"Serene Buddha in golden watercolor, merging with a Bodhi leaf.",p208-LB-090012-6030.jpg
PA-120001-4030,216,Krishna with Cows in Pichwai,All Art Prints|Deals & Discounts|Digital Canvas Prints,Pichwai Art,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3.5 ft (H) * 2 ft (B),Krishna with cows in Pichwai art symbolizes prosperity and devotion; placing in north or northeast attracts abundance and peace.,p216-PA-120001-4030.jpg
IC-130004-3040,220,Woman by the River,All Art Prints|Deals & Discounts|Digital Canvas Prints,Indian Culture,3×4 ft (36×48 in),3 ft (H) * 4 ft (B); 2 ft (H) * 3 ft (B),"This image of a woman in a serene natural landscape symbolizes prosperity, hard work, and connection to nature, bringing balance and abundance as per Vastu.",p220-IC-130004-3040.jpg
LC-140003-4030,224,Misty Cliffs and a Radiant Sun,All Art Prints|Deals & Discounts|Digital Canvas Prints,Landscapes,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"A breathtaking surreal landscape featuring misty cliffs and a radiant sun over calm waters — ideal for promoting tranquility, luxury interiors, and nature-inspired elegance.",p224-LC-140003-4030.jpg
LC-140004-4030,225,Fiery Twilight Over the Forest,All Art Prints|Deals & Discounts|Digital Canvas Prints,Landscapes,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Embrace the magic of twilight — where fiery skies meet serene forests in a symphony of color and calm.,p225-LC-140004-4030.jpg
LC-140005-5030,226,Egrets Under a Pink Moon,All Art Prints|Deals & Discounts|Digital Canvas Prints,Landscapes,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),White egrets on a branch under a soft pink moon over misty waters.,p226-LC-140005-5030.jpg
LC-140007-4030,228,Sunrise in Minimal Tones,All Art Prints|Deals & Discounts|Digital Canvas Prints,Landscapes,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Embrace the calm of nature's palette — where minimalism meets the warmth of sunrise.,p228-LC-140007-4030.jpg
LC-140008-3020,229,Pines Beneath a Golden Sun,All Art Prints|Deals & Discounts|Digital Canvas Prints,Landscapes,3×2 ft (36×24 in),3 ft (H) * 2 ft (B); 2 ft (H) * 1 ft (B),Where nature meets imagination — art that breathes tranquility.,p229-LC-140008-3020.jpg
LC-140010-5030,231,Circles and Tree Silhouettes,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Landscapes,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A modern abstract artwork blending geometric shapes, delicate tree silhouettes, and earthy tones to create a calm and contemporary nature-inspired composition.",p231-LC-140010-5030.jpg
AA-200003-4030,357,Geometric Face in Earthy Tones,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),A striking abstract portrait blending bold geometry and warm earthy tones — perfect for promoting modern art collections and contemporary interior design elegance.,p357-AA-200003-4030.jpg
AA-200004-4030,358,The Figure in Shadow and Light,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Where mystery meets elegance — art that speaks in shadows and light.,p358-AA-200004-4030.jpg
AA-200005-4040,359,Two Faces in Geometry,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,2.5×3 ft (30×36 in),4 ft (H) * 4 ft (B); 3 ft (H) * 3 ft (B),Celebrate the harmony of love and art — where emotion takes shape in every bold geometric line.,p359-AA-200005-4040.jpg
AA-200007-4030,361,Golden Tree in Abstract,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Where nature and art meet — bringing balance to every space.,p361-AA-200007-4030.jpg
AA-200008-4030,362,Figures in Colour,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),Walk into the art of connection — where colors tell human stories.,p362-AA-200008-4030.jpg
AA-200012-5030,366,Layered Hills and Golden Suns,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A minimalist abstract landscape featuring layered hills, delicate botanical silhouettes, warm golden circular forms, and elegant vertical lines, creating a serene contemporary composition inspired by Japanese design.",p366-AA-200012-5030.jpg
AA-200013-4030,367,Terracotta Geometry,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"A contemporary abstract artwork featuring layered geometric shapes, earthy terracotta tones, delicate botanical elements, and minimalist black lines for a warm, modern aesthetic.",p367-AA-200013-4030.jpg
AA-200014-5030,368,Woman and the Blue Bird,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A striking abstract portrait of a woman blended with a soaring blue bird, featuring flowing blue watercolor textures and luxurious gold accents that symbolize freedom, transformation, and inner strength.",p368-AA-200014-5030.jpg
AA-200015-4040,369,Gold and Black with a Metal Vase,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,2.5×3 ft (30×36 in),4 ft (H) * 4 ft (B); 3 ft (H) * 3 ft (B),"A modern abstract artwork featuring geometric gold and black shapes with a minimalist vase of metallic leaves, creating a sophisticated contemporary design.",p369-AA-200015-4040.jpg
AA-200017-5030,371,Earthy Circles and Botanicals,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"A modern abstract artwork featuring earthy-toned circles, delicate botanical elements, and flowing lines, creating a calm and elegant contemporary design.",p371-AA-200017-5030.jpg
AA-200018-5030,372,Serene Face with Botanicals,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"A modern abstract artwork featuring a serene face, earthy botanical elements, and warm neutral tones, creating a peaceful and contemporary aesthetic.",p372-AA-200018-5030.jpg
AA-200019-5030,373,Three Women Carrying Fruit,All Art Prints|Deals & Discounts|Digital Canvas Prints,Abstract Art,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2.5 ft (B),"A modern abstract artwork depicting three graceful women carrying bowls of fruit on their heads, rendered in flowing silhouettes and warm, vibrant colors that celebrate elegance, strength, and cultural tradition.",p373-AA-200019-5030.jpg
TA-210001-6030,374,The Ghats of Varanasi,All Art Prints|Deals & Discounts|Digital Canvas Prints|Indian Culture,Landscapes,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 5 ft (H) * 3 ft (B),"The sacred ghats of Varanasi glow with timeless devotion, where flickering lamps meet flowing waters, symbolizing faith, renewal, and the eternal rhythm of life.",p374-TA-210001-6030.jpg
TA-210002-6030,375,Kedarnath in Lamplight,All Art Prints|Deals & Discounts|Digital Canvas Prints|Indian Culture,Landscapes,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 5 ft (H) * 3 ft (B),"Kedarnath glows with countless lamps, set against the Himalayas, symbolizing faith, devotion, and the eternal presence of the divine.",p375-TA-210002-6030.jpg
