art_code,page,name,categories,subcategory,size_label,brochure_sizes,caption,image
RK-010037-5030,41,Krishna in the Lotus Mandala,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3.5 ft (H) * 2 ft (B),"The image of Lord Krishna with peacocks radiates love, harmony, and prosperity, making it highly auspicious in Vastu for attracting joy and positive relationships.",p41-RK-010037-5030.jpg
RK-010038-3060,42,Krishna with Cows and Elephants,All Art Prints|Deals & Discounts|Digital Canvas Prints,Pichwai Art,3×5 ft (36×60 in),3 ft (H) * 6 ft (B); 2.5 ft (H) * 4 ft (B),"This image of Krishna with cows, elephants, and lotus flowers symbolizes harmony, abundance, and prosperity, enhancing peace and positive energy as per Vastu.",p42-RK-010038-3060.jpg
RK-010040-5030,44,Krishna Among the Temple Lamps,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 3 ft (H) * 2 ft (B),"A mesmerizing depiction of Lord Krishna playing the flute, radiating divine charm, love, and spiritual bliss.",p44-RK-010040-5030.jpg
RK-010051-5030,55,Krishna Garlanded in the Golden Temple,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"Lord Krishna playing the flute, adorned with flower garlands in a golden temple.",p55-RK-010051-5030.jpg
RK-010052-5030,56,Lord Vitthal with the Sacred Cow,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A divine depiction of Lord Vitthal (Vithoba) adorned with lotus garlands and ornate jewelry, standing in a magnificent golden temple alongside a sacred cow, illuminated by glowing lamps and a serene spiritual ambiance.",p56-RK-010052-5030.jpg
RK-010059-5030,63,Krishna in Floral Garlands,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A magnificent devotional artwork of Lord Krishna adorned with vibrant floral garlands, ornate jewelry, and a peacock-feather crown, radiating divine grace and beauty",p63-RK-010059-5030.jpg
RK-010061-3050,65,"Radha and Krishna, a Quiet Moment",All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),3 ft (H) * 5 ft (B); 3 ft (H) * 4 ft (B),"A graceful portrayal of Radha and Krishna sharing a serene moment of love and devotion. Adorned with elegant jewelry, delicate flowers, and Krishna’s flute, the artwork beautifully captures divine romance, peace, and eternal spiritual connection",p65-RK-010061-3050.jpg
RK-010062-5030,66,Kaliya Mardan,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A powerful depiction of Lord Krishna triumphantly dancing on the many-headed serpent Kaliya, symbolizing the victory of good over evil. Surrounded by divine light, celestial beings, and awestruck devotees, the artwork radiates courage, protection, and divine grace",p66-RK-010062-5030.jpg
RK-010063-4030,67,Flute and Veena in the Pink Moonlight,All Art Prints|Deals & Discounts|Digital Canvas Prints|Abstract Art,Radha Krishna,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 2 ft (H) * 3 ft (B),"Krishna in silhouette playing a flute looms behind a woman playing a stringed instrument, both bathed in a pink moonlit haze with cherry blossoms, a lotus, and a peacock.",p67-RK-010063-4030.jpg
RK-010064-5030,68,Sree Krishna in Pink and Gold,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"Sree Krishna idol dressed in ornate pink and gold, adorned with rose garlands and a jeweled crown, set against a backdrop of vibrant flower decorations",p68-RK-010064-5030.jpg
RK-010065-6030,69,Krishna in the Saffron Turban,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"A captivating artistic portrait of Lord Krishna adorned with a peacock feather, ornate jewelry, and vibrant flowers, inspiring devotion and divine grace.",p69-RK-010065-6030.jpg
RK-010066-4030,70,Krishna in White and Gold,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 2 ft (H) * 3 ft (B),"A graceful idol of Lord Krishna adorned in white and gold attire, embellished with elegant jewelry, floral garlands, and a peacock feather, radiating divine serenity.",p70-RK-010066-4030.jpg
RK-010067-5030,71,Venkateswara in Marigold Garlands,All Art Prints|Deals & Discounts|Digital Canvas Prints|Hindu Deities,Tirupati Balaji,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"A richly adorned Ventaswara(Balaji) deity idol decorated with intricate jewelry, vibrant marigold garlands, and traditional ornaments, radiating devotion and divine elegance.",p71-RK-010067-5030.jpg
RK-010068-5030,72,Krishna Among the Blossoms,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A serene portrait of Lord Krishna adorned with a peacock feather, jeweled ornaments, and vibrant floral surroundings, radiating divine beauty and grace.",p72-RK-010068-5030.jpg
RK-010069-5030,73,Radha and Krishna in the Lamplit Temple,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A beautiful depiction of Radha and Krishna adorned with floral garlands and traditional attire, standing gracefully in a radiant temple filled with lamps and flowers.",p73-RK-010069-5030.jpg
RK-010070-4030,74,Deity Idol in Marigold and Lamplight,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 2 ft (H) * 3 ft (B),"A beautifully adorned Hindu deity idol decorated with ornate jewelry, floral garlands, and glowing lamps, creating a peaceful and devotional atmosphere.",p74-RK-010070-4030.jpg
RK-010071-6030,75,Krishna in the Ornate Shrine,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"A beautifully adorned idol of Lord Krishna standing in an ornate temple shrine, surrounded by devotees, floral garlands, and traditional offerings in a serene devotional setting.",p75-RK-010071-6030.jpg
RK-010072-5030,76,Kaliya Mardan in Watercolour,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A divine depiction of Lord Krishna performing the Kaliya Mardan, gracefully dancing upon the serpent Kaliya amid a celestial blue backdrop, symbolizing the triumph of good over evil.",p76-RK-010072-5030.jpg
RK-010073-4030,77,Krishna in Terracotta and Gold,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 2 ft (H) * 3 ft (B),"A graceful portrait of Lord Krishna with a peacock feather, flute, and serene expression, radiating timeless beauty and divine peace.",p77-RK-010073-4030.jpg
RK-010074-5030,78,Shrinathji Among the Lotuses,All Art Prints|Deals & Discounts|Digital Canvas Prints,Pichwai Art,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A graceful portrait of Lord Krishna with a peacock feather, flute, and serene expression, radiating timeless beauty and divine peace.",p78-RK-010074-5030.jpg
RK-010075-5030,79,Krishna Adorned in Flowers and Gold,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A graceful portrait of Lord Krishna with a peacock feather, flute, and serene expression, radiating timeless beauty and divine peace.",p79-RK-010075-5030.jpg
RK-010077-6030,81,Bal Krishna on the Lotus Leaf,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"A charming depiction of Bal Krishna peacefully playing the flute while seated on a glowing lotus leaf, surrounded by a celestial night sky and serene waters.",p81-RK-010077-6030.jpg
RK-010078-6030,82,Shrinathji in Emerald Green,All Art Prints|Deals & Discounts|Digital Canvas Prints,Pichwai Art,3×5 ft (36×60 in),6 ft (H) * 3 ft (B); 4 ft (H) * 2 ft (B),"A magnificent Hindu deity idol, richly adorned in emerald-green attire, intricate gold jewelry, and fresh flower garlands, stands gracefully before a stunning backdrop of peacock feathers, radiating divine beauty and spiritual grandeur.",p82-RK-010078-6030.jpg
RK-010079-5030,83,Krishna in Teal and Lotus,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A graceful portrait of Lord Krishna adorned with an ornate jeweled crown, peacock feather, and elegant floral garlands. Framed by blooming lotus flowers and intricate patterns, the artwork radiates divine beauty, serenity, and timeless devotion",p83-RK-010079-5030.jpg
RK-010081-5030,85,Krishna Beneath the Golden Moon,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A serene artwork of Lord Krishna seated in meditation with his flute, framed by a golden moon, lotus blooms and a peacock, radiating divine peace and harmony.",p85-RK-010081-5030.jpg
RK-010082-4030,86,Krishna Dancing on Kaliya,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 2 ft (H) * 3 ft (B),"A powerful depiction of young Lord Krishna fearlessly dancing upon the mighty serpent Kaliya, symbolizing the triumph of faith over fear. Set against a dramatic sky and turbulent waters, the artwork inspires courage, divine protection, and unwavering devotion",p86-RK-010082-4030.jpg
RK-010084-5030,88,Radha in Pink and Gold,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A graceful portrait of Radha adorned in elegant pink attire, shimmering gold jewelry, and delicate floral accents. Crowned with a peacock feather, her serene smile and radiant beauty embody divine love, devotion, and timeless elegance",p88-RK-010084-5030.jpg
RK-010089-5030,93,Radha Krishna in the Flower Garden,All Art Prints|Deals & Discounts|Digital Canvas Prints,Radha Krishna,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"A beautiful depiction of Radha and Krishna surrounded by a vibrant garden of colorful flowers, adorned with exquisite jewelry and traditional attire, radiating divine love, joy, and eternal devotion",p93-RK-010089-5030.jpg
RK-010090-5030,94,Krishna in the Carved Wooden Shrine,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),5 ft (H) * 3 ft (B); 4 ft (H) * 3 ft (B),"An idol of Lord Krishna standing within a carved wooden shrine, garlanded in fresh flowers and lit by oil lamps, radiating devotion and quiet grandeur.",p94-RK-010090-5030.jpg
RK-010092-3050,96,Krishna the Charioteer at Kurukshetra,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×5 ft (36×60 in),3 ft (H) * 5 ft (B); 3 ft (H) * 4 ft (B),"Lord Krishna as Arjuna's charioteer at Kurukshetra, four white horses at full stride beneath a burning sky, the moment the Bhagavad Gita begins.",p96-RK-010092-3050.jpg
RK-010094-4030,98,Krishna in the Golden Sanctum,All Art Prints|Deals & Discounts|Digital Canvas Prints,Hindu Deities,3×4 ft (36×48 in),4 ft (H) * 3 ft (B); 2 ft (H) * 3 ft (B),"An idol of Lord Krishna in a golden sanctum, ringed by rows of oil lamps and heavy garlands, radiating devotion and temple splendour.",p98-RK-010094-4030.jpg
RK-010097-3020,101,Shrinathji in Blue and Lotus,All Art Prints|Deals & Discounts|Digital Canvas Prints,Pichwai Art,3×2 ft (36×24 in),3 ft (H) * 2 ft (B); 2 ft (H) * 1 ft (B),"Shrinathji in the Pichwai tradition, deep blue against a jewelled backdrop of lotus blooms, his hand raised in the gesture that lifted Govardhan.",p101-RK-010097-3020.jpg
