art_code	category	sub_category	link	product_id	title	status
SH - 040001-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Seven Horses | Vaastu Art	https://theartframer.us/product/running-white-horses-canvas-wall-art/	232	Powerful Running White Horses Canvas Wall Art – 36×60 Inches – Premium Digital Print for Prosperity & Vastu	publish
HD - 080004-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Hindu Deities | Lakshmi Ganesha	https://theartframer.us/product/lord-ganesha-canvas-wall-art/	3362	Divine Lord Ganesha Canvas Wall Art 60×36 Inches – Premium Digital Print for Spiritual Home Decor	publish
SH - 040002-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Seven Horses	https://theartframer.us/product/white-running-horses-canvas-wall-art/	7662	Luxurious Majestic White Running Horses Canvas Wall Art – 36 x 60 Inches Premium Digital Print for Living Room	publish
LB - 090002-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Wall Art	Abstract Art | Buddha	https://theartframer.us/product/buddha-lotus-meditation-canvas-wall-art/	7676	Abstract Buddha Lotus Meditation Canvas Wall Art 36×60 Inches – Modern Zen Decor Digital Canvas Print	publish
LI - 190013-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Living Room | Wildlife	https://theartframer.us/product/luxury-floral-birds-canvas-wall-art/	7688	Luxury Floral Birds Canvas Wall Art 36×60 Inches – Elegant Nature Digital Print Décor	publish
IC - 130003-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Indian Culture	https://theartframer.us/product/indian-classical-bharatanatyam-wall-art/	7700	Stunning Indian Classical Bharatanatyam Wall Art – 36×60 Inches – Cultural Digital Canvas Print	publish
VA - 160002-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Vaastu Art	https://theartframer.us/product/garuda-sacred-symbol-canvas-wall-art/	7703	Divine Garuda Sacred Symbol Canvas Wall Art– 36 × 60 Inches Powerful Spiritual Digital Print	publish
HD - 080002-4040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Hindu Deities	https://theartframer.us/product/maa-durga-divine-canvas-wall-art/	7718	Maa Durga Divine Canvas Wall Art 48×48 Inches – Premium Digital Print for Spiritual Home Decor	publish
KR - 180001-3040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Home Decor by Space	Kids Room | Kids Room Decor	https://theartframer.us/product/cute-cartoon-cat-wall-art/	7765	Cute Cartoon Cat Wall Art 36×24 – Adorable Kids Room Digital Canvas Print	publish
WL - 170001-4030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Wildlife	https://theartframer.us/product/elephant-harmony-canvas-wall-art/	7767	Sacred Elephant Harmony Canvas Wall Art – 48 × 36 Inches Nature & Prosperity Digital Canvas Print	publish
RK - 010076-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Pichwai Art	https://theartframer.us/product/divine-shrinathji-canvas-wall-art/	7769	Divine Shrinathji Canvas Wall Art – Stunning 48×36 Inch Nathdwara Krishna Digital Canvas Print	publish
TMP-1204	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Abstract Art | Still Life	https://theartframer.us/product/modern-floral-abstract-vase-wall-art/	7781	Luxurious Modern Floral Abstract Vase Wall Art – 36 × 24 Inches Contemporary Digital Canvas Print	publish
LC - 140001-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Landscapes	https://theartframer.us/product/forest-waterfall-landscape-wall-art/	7800	Stunning Forest Waterfall Landscape Wall Art – 36 x 60 Inches Nature Digital Canvas Print	publish
RK - 010007-3040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Abstract Art | Radha Krishna	https://theartframer.us/product/radha-krishna-abstract-canvas-wall-art/	7802	Radha Krishna Abstract Canvas Wall Art – 36 × 48 Inches – Digital Canvas Print Modern Divine Love Painting	publish
TMP-1205	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Hindu Deities | Lord Shiva	https://theartframer.us/product/vaishnav-tilak-shankh-chakra-wall-art-84x24-inch-large-spiritual-devotional/	7803	Vaishnav Tilak Shankh Chakra Wall Art 84×24 Inch – Large Spiritual Devotional Digital Canvas Print	publish
LI - 190014-3040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Home Decor by Space	Café Decor | Living Room | Wildlife	https://theartframer.us/product/stunning-butterfly-tree-canvas-wall-art/	7805	Stunning Butterfly Tree Canvas Wall Art 36×48 Inches – Elegant Nature Digital Print Decor	publish
LR - 070001-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Lord Rama	https://theartframer.us/product/premium-ram-darbar-divine-wall-art-36x60-inches-spiritual-digital-canvas-print/	7810	Premium Ram Darbar Divine Wall Art – 36 x 60 Inches Spiritual Digital Canvas Print	publish
RK - 010003-3040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Radha Krishna	https://theartframer.us/product/radha-krishna-love-canvas-wall-art-2/	7811	Radha Krishna Love Canvas Wall Art – 36×48 Inch Romantic Divine Couple Painting – Digital Canvas Print	publish
SA - 100001-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Sikh Art	https://theartframer.us/product/sacred-golden-temple-amritsar-canvas-wall-art/	7815	Sacred Golden Temple Amritsar Canvas Wall Art – 48 × 36 Inches – Premium Harmandir Sahib Digital Print	publish
LS - 030001-4030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Lord Shiva	https://theartframer.us/product/divine-lord-shiva-canvas-wall-art/	7816	Divine Lord Shiva Canvas Wall Art (36×48 Inch) – Majestic & Powerful Mahadev Digital Canvas Print	publish
RK - 010008-3040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Kids Room | Radha Krishna	https://theartframer.us/product/sleeping-baby-krishna-canvas-wall-art/	7819	Sleeping Baby Krishna Canvas Wall Art – 36 × 48 Inches – Premium Digital Print for Peaceful Wall Décor	publish
RK - 010093-3040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Radha Krishna	https://theartframer.us/product/krishna-raas-leela-moonlight-wall-art-36-60-inches-mesmerizing-krishna/	7820	Krishna Raas Leela Moonlight Wall Art – 36 × 60 Inches Mesmerizing Krishna Dance Digital Canvas Print	publish
RK - 010009-3040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Radha Krishna	https://theartframer.us/product/lord-krishna-blessing-canvas-wall-art/	7822	Lord Krishna Blessing Canvas Wall Art – 36 x 48 Inch Spiritual Wall Decor – Digital Canvas Print	publish
TMP-1206	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Radha Krishna	https://theartframer.us/product/bal-krishna-flute-canvas-wall-art/	7824	Bal Krishna Flute Canvas Wall Art – 60 x 36 Inch Spiritual Wall Decor – Digital Canvas Print	publish
HD - 080012-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Hindu Deities	https://theartframer.us/product/panchmukhi-hanuman-canvas-wall-art/	7825	Panchmukhi Hanuman Canvas Wall Art 60×36 Inches – Spiritual Divine Digital Print Wall Décor	publish
HD - 080003-3040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Abstract Art | Hindu Deities | Lakshmi Ganesha	https://theartframer.us/product/modern-abstract-ganesha-canvas-wall-art/	7830	Modern Abstract Ganesha Canvas Wall Art 36×48 Inches – Spiritual Digital Print Wall Décor	publish
WL - 170021-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Home Decor by Space	Abstract Art | Living Room | Living Room Decor | Still Life	https://theartframer.us/product/minimalist-blossom-vase-canvas-wall-art/	7833	Minimalist Blossom Vase Canvas Wall Art 36 × 60 Inches – Elegant Nature Decor Digital Canvas Print	publish
WL - 170022-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Home Decor by Space	Abstract Art | Living Room | Living Room Decor | Still Life	https://theartframer.us/product/rustic-blossom-vase-canvas-wall-art/	7834	Rustic Blossom Vase Canvas Wall Art 36×60 Inches – Minimalist Floral Digital Canvas Print For Home Decor	publish
WL - 170023-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Home Decor by Space	Abstract Art | Living Room | Living Room Decor	https://theartframer.us/product/stunning-statement-geometric-floral-wall-art-60x36-abstract-botanical/	7837	Stunning Statement Geometric Floral Wall Art 60×36 – Abstract Botanical Digital Canvas Print	publish
IC - 130001-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Indian Culture	https://theartframer.us/product/indian-classical-dance-canvas-wall-art/	7838	Indian Classical Dance Canvas Wall Art – 36 x 60 Inches Colorful Dancer Digital Canvas Print	publish
LB - 090001-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Buddha	https://theartframer.us/product/buddha-lotus-serenity-canvas-wall-art/	7839	Buddha Lotus Serenity Canvas Wall Art 36×60 Inches – Spiritual Meditation Decor Digital Canvas Print	publish
AA - 200001-4030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Abstract Art	https://theartframer.us/product/red-floral-face-wall-art-48x36-minimalist-digital-canvas-print-gold-floating/	8144	Red Floral Face Wall Art 48×36 – Minimalist Digital Canvas Print with Gold Floating Frame	publish
TMP-1009	Art Accessories	Canvas Stretcher Bars	https://theartframer.us/product/premium-pine-wood-canvas-stretcher-bars-kit-diy-canvas-frame-making-artist/	8276	Premium Pine Wood Canvas Stretcher Bars Kit – DIY Canvas Frame Making – Artist & Photo Printing Use	publish
RK - 010001-3050	All Art Prints | Deals &amp; Discounts	Radha Krishna | Wildlife	https://theartframer.us/product/radha-krishna-peacock-canvas-art-36-60-inches-divine-love-painting-dig/	8301	Radha Krishna Peacock Canvas Art 36 × 60 Inches – Divine Love Painting Digital Canvas Print	publish
TMP-1010	Art Accessories	Canvas Stretcher Bars	https://theartframer.us/product/premium-wooden-stretcher-bars-canvas-diy-frame-kit-canvas-painting-heavy-duty/	8337	Premium Wooden Stretcher Bars for Canvas – DIY Frame Kit for Canvas Painting – Heavy Duty Pine Wood	publish
TMP-1011	Art Accessories | Deals &amp; Discounts	Canvas Stretcher Bars	https://theartframer.us/product/premium-canvas-stretcher-bars-heavy-duty-wooden-frame-for-professional/	8386	Premium Canvas Stretcher Bars – Heavy – Duty Wooden Frame for Professional Canvas Support & Durability	publish
HD - 080001-5030	All Art Prints | Deals &amp; Discounts	Hindu Deities	https://theartframer.us/product/meditating-yogi-spiritual-wall-art-60-24-inches-peaceful-harmony-medit/	8398	Meditating Yogi Spiritual Wall Art – 60 × 24 Inches Peaceful Harmony Meditation Digital Canvas Print	publish
TMP-1012	Art Accessories	DIY Canvas Stretcher Bars	https://theartframer.us/product/diy-canvas-stretcher-bar-kit-ready-to-assemble-wooden-frame-for-canvas/	8406	DIY Canvas Stretcher Bar Kit – Ready-to-Assemble Wooden Frame for Canvas Prints	publish
LG - 020001-4040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Digital Downloads	Lakshmi Ganesha | Printable Art	https://theartframer.us/product/lakshmi-ganesh-canvas-wall-art/	8412	Lakshmi Ganesh Canvas Wall Art – 48×48 Inches Digital Print for Wealth, Prosperity & Spiritual Decor	publish
TMP-1013	Art Accessories	DIY Canvas Stretcher Bars	https://theartframer.us/product/premium-pine-wood-stretcher-bars-canvas-printing-heavy-duty-diy-canvas-frame/	8415	Premium Pine Wood Stretcher Bars for Canvas Printing | Heavy-Duty DIY Canvas Frame Kit | Warp-Resistant Artist Canvas Frame	publish
TMP-1207	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Digital Downloads	Printable Art | Travel Art	https://theartframer.us/product/divine-varanasi-ganga-aarti-canvas-wall-art/	8424	Divine Varanasi Ganga Aarti Canvas Wall Art – 72 × 36 Inches Spiritual Kashi Ghats Digital Print	publish
TMP-1015	Art Accessories	DIY Canvas Stretcher Bars	https://theartframer.us/product/professional-wooden-stretcher-bars-canvas-heavy-duty-pine-wood-gallery-wrap/	8427	Professional Wooden Stretcher Bars For Canvas – Heavy Duty Pine Wood Gallery Wrap Frame | Canvas Printing Frame Kit	publish
TMP-1208	Art Accessories	3x4 ft | Frame Sizes | Landscapes	https://theartframer.us/product/large-landscape-canvas-print-3x4-ft-custom-photo-canvas-premium-wooden-floating/	8440	Large Landscape Canvas Print 3×4 ft | Custom Photo Canvas with Premium Wooden Floating Frame	publish
TMP-1017	Art Accessories	3x5 ft | Frame Sizes	https://theartframer.us/product/large-canvas-wall-frame-floating-frame-canvas-printing-big-wall-art-frame/	8444	Large Canvas Wall Frame – Floating Frame Canvas Printing | Big Wall Art Frame for Living Room, Office & Bedroom Decor	publish
TMP-1209		4x4 ft | Frame Sizes	https://theartframer.us/product/large-square-canvas-wall-art/	8447	Large Square Canvas Wall Art 4×4 ft | Custom Photo on Canvas with Premium Wooden Floating Frame	publish
SN - 110001-3040	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Digital Downloads	Printable Art | Swaminarayan	https://theartframer.us/product/divine-swaminarayan-temple-golden-murti-wall-art-36-48-inches-sacred-r/	8454	Divine Swaminarayan Temple Golden Murti Wall Art – 36 × 48 Inches Sacred & Radiant Digital Canvas Print	publish
TP - 050004-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Digital Downloads	Instant Downloads | Tirupati Balaji	https://theartframer.us/product/divine-lord-balaji-temple-canvas-wall-art/	8474	Divine Lord Balaji Temple Canvas Wall Art – 60 × 36 Inch Sacred Murti Digital Print	publish
TMP-1210	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Digital Downloads	Instant Downloads | Lord Shiva | Travel Art	https://theartframer.us/product/sacred-kedarnath-temple-with-lord-shiva-wall-art-72-24-inches-divine-h/	8494	Sacred Kedarnath Temple with Lord Shiva Wall Art – 72 × 24 Inches Divine Himalayan Digital Canvas Print	publish
SA - 100005-4030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints | Digital Downloads	Instant Downloads | Sikh Art	https://theartframer.us/product/sacred-guru-nanak-dev-ji-canvas-wall-art/	8504	Sacred Guru Nanak Dev Ji Canvas Wall Art – 48 × 36 Inches – Premium Sikh Spiritual Digital Canvas Print	publish
TMP-1020	Art Accessories	4x3 ft	https://theartframer.us/product/vertical-canvas-wall-art/	8515	Vertical Canvas Wall Art 3×4 ft – Large Portrait Canvas Print with Premium Wooden Floating Frame | Modern Living Room & Pooja Room Wall Décor	publish
TMP-1021	Art Accessories	DIY Floating Frames	https://theartframer.us/product/diy-floating-frame-for-canvas-prints-modern-black-shadow-gap-frame-for/	8518	DIY Floating Frame for Canvas Prints – Modern Black Shadow Gap Frame for Gallery Wrap Wall Art	publish
TMP-1022	Art Accessories	DIY Floating Frames	https://theartframer.us/product/diy-gold-floating-frame-canvas-prints-premium-shadow-gap-gallery-frame-wall-art/	8521	DIY Gold Floating Frame for Canvas Prints – Premium Shadow Gap Gallery Frame for Wall Art	publish
TMP-1023	Art Accessories	DIY Floating Frames	https://theartframer.us/product/luxury-gold-floating-frame-canvas-prints-premium-shadow-gap-gallery-wall-art/	8526	Luxury Gold Floating Frame for Canvas Prints – Premium Shadow Gap Gallery Wall Art Frame	publish
TMP-1024	Art Accessories	DIY Floating Frames	https://theartframer.us/product/diy-floating-canvas-frame-kit-modern-shadow-gap-frame-black-white-natural-wood/	8529	DIY Floating Canvas Frame Kit – Modern Shadow Gap Frame in Black, White & Natural Wood Finish	publish
TMP-1025	Art Accessories	Premium Aluminium Frames	https://theartframer.us/product/premium-aluminium-floating-frame-canvas-prints-gold-rose-gold-black-silver/	8571	Premium Aluminium Floating Frame for Canvas Prints – Gold, Rose Gold, Black, Silver & White Gallery Wall Art Frame	publish
TMP-1026	Art Accessories	Premium Aluminium Frames	https://theartframer.us/product/premium-aluminium-canvas-frame-prints-premium-shadow-gap-frame-black-gold/	8576	Premium Aluminium Canvas Frame Prints – Premium Shadow Gap Frame in Black, Gold & Silver | Modern Gallery Wall Art Frame	publish
TMP-1027	Art Accessories	Premium Aluminium Frames	https://theartframer.us/product/premium-canvas-floating-frame-aluminium-profile-shadow-gap-frame-gold-black/	8579	Premium Canvas Floating Frame Aluminium Profile – Shadow Gap Frame in Gold, Black, Silver & Rose Gold	publish
TMP-1211	Art Accessories	Framed White Canvas	https://theartframer.us/product/framed-white-canvas-wall-art/	8582	Framed White Canvas Wall Art – Premium Blank Canvas with Floating Frame for Modern Wall Décor	publish
TMP-1212	Art Accessories	Abstract Art | Framed White Canvas	https://theartframer.us/product/elegant-large-framed-white-canvas-wall-art/	8585	Elegant Large Framed White Canvas Wall Art with a sleek floating frame, designed to create a modern minimalist wall décor statement for living rooms, offices, and contemporary interiors.	publish
TMP-1213	Art Accessories	Framed White Canvas	https://theartframer.us/product/best-premium-pre-stretched-framed-canvas-board-professional-blank-artist-canvas/	8588	Best Premium Pre-Stretched Framed Canvas Board | Professional Blank Artist Canvas for Painting & DIY Crafts	publish
TMP-1214	Art Accessories	Rolled Canvas	https://theartframer.us/product/premium-canvas-roll-for-printing-high-quality-cotton-canvas-fabric-for/	8591	Premium Canvas Roll For Printing– High-Quality Cotton Canvas Fabric for Painting, Digital Printing & Wall Art	publish
TMP-1032	Art Accessories	Rolled Canvas	https://theartframer.us/product/artist-cotton-canvas-roll-painting-printing-premium-blank-canvas-fabric/	8594	Artist Cotton Canvas Roll for Painting & Printing – Premium Blank Canvas Fabric for Stretched Canvas Frames	publish
TMP-1215	Art Accessories	Rolled Canvas	https://theartframer.us/product/professional-cotton-canvas-roll-artists-stretched-frames-blank-artist-canvas/	8597	Professional Cotton Canvas Roll for Artists Stretched Frames – Blank Artist Canvas Fabric for Painting & Canvas Printing	publish
TMP-1034	Art Accessories	Rolled Canvas	https://theartframer.us/product/artist-cotton-canvas-fabric-premium-textured-canvas-material-painting-printing/	8601	Artist Cotton Canvas Fabric – Premium Textured Canvas Material for Painting, Printing & Stretched Frames	publish
TMP-1035	Art Accessories	Stands	https://theartframer.us/product/premium-quality-adjustable-metal-easel-stand-pro-stability-portable-tripod/	8604	Premium Quality Adjustable Metal Easel Stand – Pro Stability Portable Tripod Easel for Canvas Display & Painting	publish
TMP-1036	Art Accessories	Stands	https://theartframer.us/product/elite-premium-wooden-artist-easel-stand-adjustable-studio-easel-canvas-display/	8607	Elite Premium Wooden Artist Easel Stand – Adjustable Studio Easel for Canvas & Display	publish
TMP-1037	Art Accessories	Stands	https://theartframer.us/product/professional-wooden-studio-easel-adjustable-floor-easel-stand-canvas-painting/	8610	Professional Wooden Studio Easel – Adjustable Floor Easel Stand for Canvas Painting	publish
TMP-1038	Art Accessories	Wooden Frames	https://theartframer.us/product/premium-wood-canvas-frame-stunning-gallery-style-wooden-frame-modern-wall-art/	8613	Premium Wood Canvas Frame – Stunning Gallery Style Wooden Frame for Modern Wall Art	publish
TMP-1039	Art Accessories	Wooden Frames	https://theartframer.us/product/premium-wooden-floating-frame-for-canvas-luxury-gallery-style-wall-art/	8616	Premium Wooden Floating Frame for Canvas – Luxury Gallery Style Wall Art Frame	publish
TMP-1040	Art Accessories	Wooden Frames	https://theartframer.us/product/premium-wooden-floating-frame-for-canvas-art-natural-oak-black-walnut/	8619	Premium Wooden Floating Frame for Canvas Art – Natural Oak, Black, Walnut, Gold & White Gallery Frames	publish
TMP-1041	Banners &amp; Signage | Deals &amp; Discounts	Backdrops	https://theartframer.us/product/best-premium-custom-backdrop-banner-printing-professional-vinyl-fabric/	8643	Best Premium Custom Backdrop Banner Printing | Professional Vinyl & Fabric Event Backdrops	publish
TMP-1042	Banners &amp; Signage | Deals &amp; Discounts	Banner Stands	https://theartframer.us/product/custom-premium-roll-up-banner-stand-printing-portable-retractable-display/	8646	Custom Premium Roll-Up Banner Stand Printing | Portable Retractable Display Banner for Powerful Brand Impact	publish
TMP-1043	Banners &amp; Signage | Deals &amp; Discounts	Fabric / Cloth Banners	https://theartframer.us/product/premium-custom-fabric-banner-professional-high-resolution-personalized/	8649	Premium Custom Fabric Banner | Professional High-Resolution Personalized Event & Business Display Banner	publish
TMP-1044	Banners &amp; Signage | Deals &amp; Discounts	Fence Banners	https://theartframer.us/product/top-rated-custom-fence-banner-printing-ultra-durable-premium-mesh-vinyl/	8653	Top-Rated Custom Fence Banner Printing | Ultra-Durable Premium Mesh & Vinyl Construction Site Banners for Maximum Impact	publish
TMP-1045	Banners &amp; Signage | Deals &amp; Discounts	Vinyl Banners	https://theartframer.us/product/premium-stunning-personalized-vinyl-banners-pro-grade-ultra-durable-waterproof/	8656	Premium Stunning Personalized Vinyl Banners | Pro-Grade Ultra Durable Waterproof HD PVC Banner Printing for Indoor & Outdoor Advertising	publish
TMP-1046	All Art Prints | Deals &amp; Discounts | Personalised Prints	Portraits	https://theartframer.us/product/premium-wooden-portrait-canvas-frame-60-24-inches-solid-wood-digital-p/	8669	Premium Wooden Portrait Canvas Frame (60 × 24 Inches) – Solid Wood Digital Print for Elegant Photo Display	publish
TMP-1216	All Art Prints | Deals &amp; Discounts | Personalised Prints	Family Collages	https://theartframer.us/product/stunning-personalized-family-photo-collage-canvas-print-36-x-60-inches/	8711	Stunning Personalized Family Photo Collage Canvas Print (36 x 60 Inches) – Custom Wall Art for Living Room	publish
SL - 150001-4030	All Art Prints | Deals &amp; Discounts | Home Decor by Space	Abstract Art | Café Decor	https://theartframer.us/product/modern-cafe-decor-wall-art-set-72x24-inch-stunning-contemporary-abstract-panel/	8805	Modern Cafe Decor Wall Art Set – 72×24 Inch Stunning Contemporary Abstract Panel Digital Canvas Print	publish
TMP-1048	Art Accessories	Frame Colors	https://theartframer.us/product/premium-canvas-floating-frame-colors-luxurious-wooden-photo-frame-styles-canvas/	8846	Premium Canvas Floating Frame Colors – Luxurious Wooden Photo Frame Styles for Canvas Wall Art	publish
TMP-1049	Art Accessories	Frame Colors	https://theartframer.us/product/premium-floating-frame-collection-stunning-gallery-frames-black-gold-silver/	8849	Premium Floating Frame Collection – Stunning Gallery Frames Black, Gold, Silver, Rose Gold, Wood & White	publish
TMP-1217	Art Accessories	Black | Frame Colors	https://theartframer.us/product/luxury-premium-matte-black-floating-frame-for-canvas-art-modern-matte/	8853	Luxury Premium Matte Black Floating Frame for Canvas Art | Modern Matte Black Gallery Wall Frame	publish
TMP-1051		Frame Colors | Gold	https://theartframer.us/product/premium-gold-floating-canvas-frame-luxury-metallic-gallery-style-frame/	8856	Premium Gold Floating Canvas Frame | Luxury Metallic Gallery Style Frame for Modern Wall Art Décor	publish
TMP-1052	Art Accessories		https://theartframer.us/product/premium-rose-gold-floating-frame-canvas-elegant-copper-finish-gallery-style/	8859	Premium Rose Gold Floating Frame for Canvas – Elegant Copper Finish Gallery Style Frame for Wall Art	publish
TMP-1053	Art Accessories	Frame Colors | Silver	https://theartframer.us/product/premium-silver-floating-frame-canvas-luxury-modern-metallic-floating-canvas/	8862	Premium Silver Floating Frame For Canvas | Luxury Modern Metallic Floating Canvas Frame	publish
KR - 180003-5030	All Art Prints | Deals &amp; Discounts | Home Decor by Space	Kids Room | Kids Room Decor	https://theartframer.us/product/kids-cartoon-animal-canvas-wall-art/	8866	Kids Cartoon Animal Canvas Wall Art Set – 72×24 Inch Cute & Adorable Nursery Decor Digital Canvas Print	publish
TMP-1218	All Art Prints | Deals &amp; Discounts | Home Decor | Home Decor by Space	Landscapes | Living Room Decor	https://theartframer.us/product/modern-living-room-wall-decor-canvas-set-3-panel-landscape-wall-art-stylish/	8869	Modern Living Room Wall Decor Canvas Set – 3 Panel Landscape Wall Art for Stylish & Luxurious Interiors	publish
TMP-1055	All Art Prints | Deals &amp; Discounts | Home Decor by Space	Kids Room Decor	https://theartframer.us/product/test-canvas-wall-art/	11491	test	publish
TMP-1056	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Radha Krishna	https://theartframer.us/product/premium-radha-krishna-love-wall-art-36x60-inches-spiritual-digital-canvas-print/	11541	Premium Radha Krishna Love Wall Art (36 x 60 Inches) – Spiritual Digital Canvas Print for Home Decor	publish
RK - 010025-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Abstract Art | Radha Krishna	https://theartframer.us/product/stunning-radha-krishna-abstract-wall-art-60x36-inches-premium-digital/	11551	Stunning Radha Krishna Abstract Wall Art 60×36 Inches – Premium Digital Canvas Print for Home Decor	publish
RK - 010024-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Radha Krishna	https://theartframer.us/product/divine-radha-krishna-canvas-wall-art/	11560	Divine Radha Krishna Canvas Wall Art 60×36 Inches – Premium Digital Print for Luxury Home Decor	publish
RK - 010002-3050	All Art Prints | Deals &amp; Discounts | Digital Canvas Print	Radha Krishna	https://theartframer.us/product/radha-krishna-divine-love-canvas-art-canvas-wall-art/	11577	Radha Krishna Divine Love Canvas Art	publish
TMP-1058	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Hindu Deities | Radha Krishna	https://theartframer.us/product/radha-krishna-canvas-wall-art-24x36-inches-floating-frame-premium-digital/	11617	Radha-Krishna Canvas Wall Art 24×36 Inches – Floating Frame – Premium Digital Canvas Print – Pooja Room & Living Room Spiritual Wall Décor	publish
SL - 150009-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Still Life	https://theartframer.us/product/vibrant-floral-still-life-canvas-wall-art/	13239	Vibrant Floral Still Life Canvas Wall Art 3×4 Feet – Floating Frame – Premium Digital Canvas Print – Living Room & Home Spiritual Wall Décor	publish
RK - 010080-5030	All Art Prints | Deals &amp; Discounts | Digital Canvas Prints	Hindu Deities	https://theartframer.us/product/krishna-standing-tall-canvas-wall-art/	13355	Krishna Standing Tall Canvas Wall Art 3×4 Feet – Floating Frame – Premium Digital Canvas Print – Living Room & Home Spiritual Wall Décor	publish
